no,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
1,2021-04-30 03:00:00,38220090,Other,LGC PROMOCHEM INDIA PVT LTD,"No.142, 3Rd Floor, 5Th Cross, R.M.V.Extension,","IN - Bangalore, Karnataka",.,.,in@lgcpromochem.com,www.lgcpromochem.com,M/S. COUNCIL OF EUROPE/ CONSEIL DE,,France,0.0,1817.0,EUR,0.0,,0.0,,23.0,NOS,EP-Y0001076_LOSARTAN FOR SYSTEM SUITABILITY (0.002 MG)-(PHARMACEUTICAL REFERENCE STANDARD),0,,,,,,BANGALORE ACC (INBLR4),,,,0,,,,,,,,,,,1,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
9,2021-04-30 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,"ORTHO CLINICAL DIAGNOSTICS, INC. ",,United States,0.0,2665600.0,INR,0.0,,0.0,,217.14,KGS,ANTI-SARS-COV-2 IGG RGNT PACK(NONUS) L.4(57)(CLIA DIAGNOSTICKIT)(400 EA),0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,9,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
15,2021-04-30 03:00:00,38220019,Other,SHIVA SCIENTIFIC COMPANY,"Flat No.140, Sfs Flat Sector-3, Pocket 1/2, Dwarka",IN - New Delhi,.,.,shivascie@gmail.com,.,BAG DIAGNOSTICS GMBH,,Germany,0.0,33696.0,EUR,0.0,,0.0,,65.0,NOS,VIROQ SARS-COV-2(LOT NO.111VM1) 480 TESTS (TESTTING KIT FOR COVID-19),0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,15,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
75,2021-04-30 03:00:00,38220090,Other,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii, 122001",IN - Gurgaon,0124-4540907,.,allen@sdbiosensor.com,www.sdbiosensor.com,BIONOTE INC.,,South Korea,0.0,500.0,USD,0.0,,0.0,,2000.0,NOS,DIAGNOSTIC BUFFER SOLUTIONS (COMPONENT OF COVID-19 AG) LOT NO. STEB1021015,0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,75,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
86,2021-04-30 03:00:00,38220090,Other,LGC PROMOCHEM INDIA PVT LTD,"No.142, 3Rd Floor, 5Th Cross, R.M.V.Extension,","IN - Bangalore, Karnataka",.,.,in@lgcpromochem.com,www.lgcpromochem.com,M/S. COUNCIL OF EUROPE/ CONSEIL DE,,France,0.0,632.0,EUR,0.0,,0.0,,8.0,NOS,EP-Y0001003_TELMISARTAN FOR SYSTEM SUITABILITY (0.26 MG)-(PHARMACEUTICAL REFERENCE STANDARD),0,,,,,,BANGALORE ACC (INBLR4),,,,0,,,,,,,,,,,86,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
159,2021-04-30 03:00:00,38220090,Other,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii, 122001",IN - Gurgaon,0124-4540907,.,allen@sdbiosensor.com,www.sdbiosensor.com,BIONOTE INC.,,South Korea,0.0,108125.0,USD,0.0,,0.0,,432500.0,NOS,DIAGNOSTIC BUFFER SOLUTION (COMPONENT OF COVID-19 AG) LOT NO. STEB1020624,0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,159,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
178,2021-04-30 03:00:00,38220090,Other,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii, 122001",IN - Gurgaon,0124-4540907,.,allen@sdbiosensor.com,www.sdbiosensor.com,BIONOTE INC.,,South Korea,0.0,131.0,USD,0.0,,0.0,,525.0,NOS,DIAGNOSTIC BUFFER SOLUTIONS (COMPONENT OF COVID-19 AG) LOT NO. STEB1021014,0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,178,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
197,2021-04-30 03:00:00,38220090,Other,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii, 122001",IN - Gurgaon,0124-4540907,.,allen@sdbiosensor.com,www.sdbiosensor.com,BIONOTE INC.,,South Korea,0.0,20625.0,USD,0.0,,0.0,,82500.0,NOS,DIAGNOSTIC BUFFER SOLUTIONS (COMPONENT OF COVID-19 AG) LOT NO. STEB1021016,0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,197,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
215,2021-04-30 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,ORTHO-CLINICAL DIAGNOSTICS FRANCE,,United Kingdom,0.0,929077.0,INR,0.0,,0.0,,19.0,KGS,SARS-COV-2 AG EXTRACTIONBUFFER (DIAGNOSTIC KITS) (50 EA)IGSTPAID UNDER PROTEST VIDE FILE NO.S/3GEN16,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,215,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
221,2021-04-30 03:00:00,38220019,Other,ABBOTT HEALTH CARE PRIVATE LIMITED,"Unit Nos.3&4, Corporate Park, Sion-Trombay Road, Chembur, 400071",IN - Mumbai. Maharashtra,5978888,5978846,niranjani.shetty@abbott.com,www.abbott.co.in,ABBOTT DIAGNOSTICS GMBH,,Ireland,0.0,223.0,USD,0.0,,0.0,,0.08,KGS,6R8702 ARC SARS-COVID-2 CAL OUS DIAGNOSTIC REAGENT 4 NOS,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,221,Trade Atlas - 01-03-2022 - File ID 0004617684.xlsx
